"I","J","K","Temperature Sensitivity Parameter","Total Factor Productivity Growth","Population Level","Pcy2010","Pcy2015","PcY.r1","Pcy2100","PcY.r2","APY_2010_2015","APY_2010_2100","Ratio","Rate"
2,2,4,1.4,0.995,1.005,63.5819868191,76.8634434509,1.2088870967431,529.7474591849,8.33172232714446,1.52808304693186,1.02383597745382,0.995321676716367,-0.00467832328363349
2,3,4,1.4,1,1.005,63.5819868191,77.8476129337,1.22436584366556,807.8993475647,12.7064187198694,1.66266453215398,1.02864832687209,1,0
2,4,4,1.4,1.005,1.005,63.5819868191,78.8505355688,1.2401395350092,1231.0308423547,19.3613144845121,1.80878508345323,1.03347333562942,1.00469063005429,0.00469063005429327
2,5,4,1.4,1.01,1.005,63.5819868191,79.8717702259,1.25620123279801,1874.0977023579,29.4752931783963,1.96739528712707,1.03831065951478,1.00939323225467,0.00939323225466726
2,1,5,1.4,0.99,1.01,63.5819868191,77.7862529494,1.22340079071,537.8260893952,8.45878080100569,1.53271551706066,1.02400816534391,0.990651777638675,-0.0093482223613246
2,2,5,1.4,0.995,1.01,63.5819868191,78.7719467003,1.23890351090188,821.0429346445,12.9131374422206,1.66803959206269,1.02883279060085,0.995319243923598,-0.00468075607640162
2,3,5,1.4,1,1.01,63.5819868191,79.7778094148,1.25472344300563,1252.4193810028,19.6977075372954,1.81502719678932,1.03367115313187,1,0
2,4,5,1.4,1.005,1.01,63.5819868191,80.8032986626,1.27085205582671,1908.7889461518,30.0209075187062,1.97462560095062,1.03852228490468,1.0046931093686,0.00469310936859846
2,5,5,1.4,1.01,1.01,63.5819868191,81.8477949384,1.28727960595615,2907.2479315888,45.7243958082081,2.14797684354983,1.04338860307403,1.00940091044693,0.00940091044692659
3,1,1,2.9,0.99,0.99,63.5819868191,70.3809177019,1.10693171482898,91.0497359409,1.43200520298225,1.07445670204615,1.00399769958921,0.990680900351767,-0.00931909964823274
3,2,1,2.9,0.995,0.99,63.5819868191,71.2876701611,1.12119286809838,138.8537151676,2.18385303942544,1.16908121407595,1.00871655614079,0.995337167053439,-0.00466283294656067
3,3,1,2.9,1,0.99,63.5819868191,72.2115113378,1.13572278801624,211.4645512043,3.3258562964688,1.27168835980209,1.01344206720117,1,0
3,4,1,2.9,1.005,0.99,63.5819868191,73.1520236585,1.15051490710141,321.5078118492,5.05658643168759,1.38283857846553,1.01817080085977,1.00466601280097,0.00466601280097367
3,5,1,2.9,1.01,0.99,63.5819868191,74.1088412213,1.16556347054946,487.84326643,7.67266470955029,1.50310473898612,1.02289895700086,1.00933145574449,0.00933145574449057
3,1,2,2.9,0.99,0.995,63.5819868191,72.1514865827,1.13477873517827,142.0619895482,2.23431189642417,1.17443438927279,1.00897260692893,0.990694953139932,-0.00930504686006772
3,2,2,2.9,0.995,0.995,63.5819868191,73.0787241425,1.14936207247533,216.5399119611,3.40568017443663,1.27773494407044,1.01370917256944,0.995345715353933,-0.00465428464606699
3,3,2,2.9,1,0.995,63.5819868191,74.023882506,1.16422726324373,329.5204254312,5.18260661417728,1.38966349431765,1.01844932562851,1,0
3,4,2,2.9,1.005,0.995,63.5819868191,74.9864354347,1.1793660309491,500.4568708207,7.87104800994301,1.51079838630323,1.02318912916389,1.00465394145404,0.00465394145404097
3,5,2,2.9,1.01,0.995,63.5819868191,75.9658594779,1.1947701429028,758.2322390972,11.9252680991942,1.64169936533293,1.02792341097837,1.00930246121378,0.00930246121377842
3,1,3,2.9,0.99,1,63.5819868191,73.9428967729,1.16295354190926,220.9458947348,3.47497625960358,1.28289280188866,1.01393607699899,0.990715172601747,-0.00928482739825287
3,2,3,2.9,0.995,1,63.5819868191,74.8918498257,1.17787841450721,336.5236629402,5.2927516074271,1.39552076332428,1.01868733252186,0.995357616087281,-0.00464238391271854
3,3,3,2.9,1,1,63.5819868191,75.8595689776,1.19309843515006,511.5553851227,8.04560239015728,1.51744064732492,1.02343852707561,1,0
3,4,3,2.9,1.005,1,63.5819868191,76.8452558193,1.20860104667594,775.7542020198,12.2008487124967,1.64921778067011,1.02818437671548,1.00463716140668,0.00463716140667958
3,5,3,2.9,1.01,1,63.5819868191,77.848395989,1.22437815934393,1175.1292478062,18.482109581596,1.79205076513405,1.03293981345945,1.00928369035607,0.00928369035606869
3,1,4,2.9,0.99,1.005,63.5819868191,75.7474993723,1.19133583522347,342.4491047716,5.38594532671521,1.40040092226068,1.01888491567652,0.99074334531558,-0.00925665468441961
3,2,4,2.9,0.995,1.005,63.5819868191,76.7200836607,1.206632373395,521.0308053822,8.19462919371501,1.52302089379595,1.02364725371933,0.99537414772659,-0.00462585227341017
3,3,4,2.9,1,1.005,63.5819868191,77.7119910361,1.2222328197639,790.8448345513,12.4381900301632,1.65558482692455,1.02840450101835,1,0
3,4,4,2.9,1.005,1.005,63.5819868191,78.7225115983,1.23812600921511,1199.3127102554,18.8624604271587,1.79936665603191,1.03317363450246,1.00463741016243,0.00463741016242736
3,5,4,2.9,1.01,1.005,63.5819868191,79.7510857505,1.25430314056406,1817.2037441014,28.5804806520376,1.95530227533929,1.03795505976182,1.00928677260165,0.00928677260165278
3,1,5,2.9,0.99,1.01,63.5819868191,77.5534501403,1.2197393321626,528.7888748234,8.31664597597243,1.52752962931155,1.02381537408715,0.990756862530271,-0.00924313746972905
3,2,5,2.9,0.995,1.01,63.5819868191,78.5521945107,1.2354473089083,803.3616707082,12.6350513863916,1.66079260542822,1.02858395299988,0.995371466297588,-0.00462853370241156
3,3,5,2.9,1,1.01,63.5819868191,79.5710932271,1.25147226766429,1219.6754525839,19.18272003758,1.8054357495632,1.03336692664682,1,0
3,4,5,2.9,1.005,1.01,63.5819868191,80.6093056152,1.26780098653641,1850.2377723779,29.1000307625192,1.96236003083155,1.03816284734334,1.00464106269791,0.00464106269791409
3,5,5,2.9,1.01,1.01,63.5819868191,81.6658133939,1.28441745027961,2807.5706646762,44.1566991711685,2.13304157457992,1.04298422544505,1.00930676079352,0.009306760793516
4,1,1,4.4,0.99,0.99,63.5819868191,70.3231736815,1.10602353275904,90.3016027442,1.42023876984406,1.07268516083193,1.00390566291408,0.990728728464802,-0.00927127153519802
4,2,1,4.4,0.995,0.99,63.5819868191,71.2322406379,1.12032108780378,137.4664974802,2.16203526120239,1.16673588226443,1.00860402621786,0.995365422602284,-0.00463457739771556
4,3,1,4.4,1,0.99,63.5819868191,72.1581676504,1.13488381317338,208.8177295856,3.28422781407754,1.26848885242301,1.01330024462872,1,0
4,4,1,4.4,1.005,0.99,63.5819868191,73.1005273333,1.14970498706311,316.3082157333,4.97480861416368,1.37833655900044,1.01798636193185,1.0046246088738,0.00462460887379801
4,5,1,4.4,1.01,0.99,63.5819868191,74.0589143111,1.16477823383859,477.3137291334,7.50705904317565,1.49655942482722,1.02265098871962,1.00922800930965,0.00922800930965151
4,1,2,4.4,0.99,0.995,63.5819868191,72.0613649526,1.13336132696868,140.6093696432,2.21146549011207,1.17202272710241,1.00885739005949,0.990766109250804,-0.00923389074919612
4,2,2,4.4,0.995,0.995,63.5819868191,72.9921639924,1.14800067824356,213.7616174038,3.36198392182967,1.27443921505954,1.01356373348245,0.995388056423823,-0.00461194357617745
4,3,2,4.4,1,0.995,63.5819868191,73.940479683,1.16291552658415,324.0495650962,5.09656242762857,1.38501816591003,1.01825989064398,1,0
4,4,2,4.4,1.005,0.995,63.5819868191,74.905703868,1.17809630707385,489.3501409435,7.69636441742175,1.50403216673495,1.02293400995031,1.00459030091362,0.00459030091362167
