I,J,K,Temperature Sensitivity Parameter,Total Factor Productivity Growth,Population Level,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,Mode
1,3,4,1,1,1.005,Social Cost of Carbon,3.716895356,4.439264205,5.286669508,6.262238344,7.367668497,8.603004712,9.966508149,11.45456585,13.06161856,14.7801159,16.60054496,18.51163146,20.50088955,22.55581432,24.66618993,26.82826088,29.05195118,31.37307889,33.87409665,36.39820279,38.97530803,41.6230197,44.35376077,47.17656251,50.09816081,53.12362777,56.25668619,59.49979601,62.85406154,66.31898012,69.89203102,73.56808397,77.33858622,81.1904603,85.10460327,89.05380818,92.99979957,96.88883133,100.6500962,104.2361091,107.5885392,110.636865,113.29665,115.4672478,117.0677364,118.0288304,118.1314609,117.2173421,115.1116987,111.6210205,104.1239677,98.11877334,89.84472096,79.38623288,66.94281648,52.89687684,37.88763918,22.90258538,9.442709724,0,Base
1,3,5,1,1,1.01,Social Cost of Carbon,4.699833279,5.710103891,6.907854606,8.302100659,9.89891249,11.7007795,13.7061741,15.90928763,18.29999011,20.86413778,23.58211972,26.43043796,29.38337866,32.41647868,35.51304014,38.67567771,41.9461379,45.43917297,49.40270649,53.38098058,57.45464096,61.68096054,66.1020035,70.7496698,75.6485731,80.81738373,86.26900393,92.00973423,98.03740447,104.3382267,110.8817843,117.6130338,124.4600084,131.358441,138.2097704,144.9456904,151.518482,157.8784758,163.9734707,169.7485751,175.146812,180.1110808,184.5884511,188.5384592,191.9482316,194.9473544,196.30347,195.8032846,193.1981322,188.1969798,176.4340557,166.9652081,153.4546813,135.8407707,114.1328413,88.92599239,62.08914866,36.17868453,14.22732439,0,Base
1,4,1,1,1.005,0.99,Social Cost of Carbon,1.876093248,2.110654024,2.398929881,2.735843049,3.118605302,3.546171634,4.019098066,4.539603499,5.111745039,5.741652826,6.437766399,7.210975682,8.074483756,9.043045309,10.13093686,11.34749141,12.6881847,14.11821678,15.54560015,16.93863675,18.32345811,19.71679712,21.12889868,22.56558564,24.02965803,25.52181111,27.04121906,28.58589011,30.15286451,31.73830242,33.33749042,34.94478374,36.55349087,38.15570142,39.74204971,41.30140044,42.82043215,44.28308072,45.6697806,46.95640675,48.11465696,49.11881695,49.93879804,50.53981195,50.88209906,50.92076466,50.60577619,49.88206956,48.68943264,46.96114184,43.60722635,40.95322349,37.41287353,33.0259278,27.86623406,22.06954253,15.8680626,9.639228557,3.993846842,0,Base
1,4,2,1,1.005,0.995,Social Cost of Carbon,2.26256432,2.607746738,3.0320476,3.532803017,4.109278402,4.762129447,5.493280638,6.306014512,7.205172981,8.197410801,9.291441259,10.49818163,11.83063232,13.30318534,14.92981266,16.72016584,18.67194886,20.75703493,22.89831919,24.93823914,26.93092866,28.91167325,30.90282851,32.91806735,34.96525832,37.04835076,39.1685754,41.32518342,43.51587566,45.73702105,47.98372724,50.24980103,52.52761955,54.80792089,57.07951434,59.32890336,61.53980812,63.69256853,65.76340102,67.72347302,69.53774425,71.16349928,72.54844997,73.62819787,74.32277533,74.55225251,74.24093805,73.30472421,71.65132267,69.17861908,64.27392206,60.37445905,55.13909424,48.63100754,40.9697236,32.37216052,23.20193077,14.03639087,5.785893208,0,Base
1,4,3,1,1.005,1,Social Cost of Carbon,2.760883296,3.253246422,3.861161741,4.585897438,5.430151336,6.39737951,7.49157164,8.71725593,10.07962427,11.5847143,13.23960043,15.05254143,17.0330076,19.19146009,21.53866381,24.08416292,26.83330457,29.78184491,32.90678779,35.82974972,38.6581288,41.46403547,44.29323361,47.17612635,50.13307377,53.17781026,56.3195661,59.56431701,62.91543896,66.37394019,69.9383678,73.60443287,77.36435598,81.20589622,85.1109799,89.05377836,92.99796802,96.89269038,100.6668915,104.2638245,107.6254493,110.6814016,113.3473367,115.522721,117.1246746,118.0830214,118.1805929,117.2589132,115.1430942,111.639629,104.1262627,98.10501923,89.81382315,79.3389393,66.8822872,52.829154,37.82176959,22.84995823,9.414590194,0,Base
1,4,4,1,1.005,1.005,Social Cost of Carbon,3.416385964,4.107365558,4.966218169,6.000535114,7.218707937,8.628943177,10.2387979,12.05502511,14.08363243,16.3301276,18.79998871,21.49970847,24.4364584,27.61790477,31.05535446,34.7673438,38.78615808,43.16945893,48.02082233,52.56928021,57.00630666,61.46277617,66.02852067,70.76610543,75.71974183,80.92062306,86.38968735,92.13844529,98.16817092,104.4674268,111.007474,117.7345946,124.5825472,131.492863,138.3768779,145.1450201,151.7493816,158.1400815,164.2647133,170.068204,175.4934313,180.4831894,184.9844938,188.9569042,192.3877018,195.4076891,196.7803534,196.2915551,193.6917722,188.6890755,176.9063702,167.422912,153.8871051,136.2377476,114.4843587,89.20622626,62.28232919,36.28607406,14.26643022,0,Base
1,4,5,1,1.005,1.01,Social Cost of Carbon,4.286737874,5.246892209,6.449581922,7.912454226,9.653405505,11.68921113,14.03512369,16.70369732,19.70470496,23.04535915,26.73063339,30.76407782,35.14961098,39.8951961,45.02000882,50.56787687,56.63184079,63.39868229,71.23122713,78.66249908,86.02242538,93.53777036,101.3630666,109.6009883,118.3132489,127.5233235,137.2108037,147.2962243,157.7024167,168.2943356,178.9949127,189.7530982,200.5176328,211.236338,221.8553684,232.3185328,242.5668311,252.5384211,262.1693524,271.3956225,280.1574776,288.4074994,296.1250471,303.3413169,310.18205,317.3565687,321.6290545,322.6636252,320.0581608,313.3413178,295.3380181,280.9604579,259.8893202,232.104187,197.7357541,157.2014303,111.3722429,62.76586952,23.04632247,0,Base
1,5,1,1,1.01,0.99,Social Cost of Carbon,1.771743981,2.003709928,2.309059436,2.682759042,3.123412871,3.632193013,4.212588186,4.870584046,5.615112641,6.458689431,7.418161543,8.515431985,9.777875704,11.23785731,12.93016204,14.88502231,17.11244187,19.57075557,22.11166511,24.41255615,26.57287688,28.65993881,30.71765803,32.77386737,34.8456088,36.94272784,39.07022726,41.22976498,43.42057548,45.64000507,47.88378555,50.14612405,52.41965697,54.69529362,56.96196044,59.20624566,61.41193663,63.55943206,65.62500545,67.57988287,69.389086,71.00996282,72.39028263,73.46568309,74.15618927,74.38275322,74.06991363,73.13381294,71.48242955,69.0139328,64.11955456,60.22829568,55.00465937,48.51169578,40.86864621,32.29189134,23.14413072,14.00126546,5.771346989,0,Base
1,5,2,1,1.01,0.995,Social Cost of Carbon,2.11928876,2.455542336,2.894964359,3.436347345,4.082006369,4.836665892,5.70720786,6.702887394,7.835841943,9.121800337,10.58090505,12.23850569,14.12564259,16.27865784,18.73683612,21.53599397,24.69423884,28.18364409,31.87993874,35.17161074,38.2310143,41.17834958,44.09155435,47.021085,50.00015786,53.05068683,56.18708919,59.41863469,62.75081447,66.18604065,69.72386145,73.36080562,77.08989482,80.89979949,84.77366051,88.68729997,92.60679338,96.48485227,100.2554736,103.8469295,107.2020237,110.2511814,112.9109156,115.0818242,116.6763873,117.6229935,117.7112033,116.7832738,114.6653836,111.1651421,103.6713832,97.66515139,89.39958155,78.96175298,66.55382919,52.5603923,37.62160938,22.7233591,9.359489904,0,Base
1,5,3,1,1.01,1,Social Cost of Carbon,2.568303527,3.043762572,3.664778515,4.436261985,5.366594467,6.466330091,7.74783964,9.225503363,10.91627874,12.84056039,15.02328182,17.49520291,20.29427785,23.46739716,27.06604845,31.14323849,35.74576502,40.89602413,46.55788837,51.62973304,56.39625892,61.05455426,65.73874902,70.54025346,75.52183283,80.72657764,86.18310277,91.90797743,97.90597071,104.1682854,110.6684766,117.3552597,124.1690614,131.0594335,137.9505847,144.7286981,151.3428362,157.7429684,163.8765512,169.6883978,175.1212893,180.1179162,184.6251426,188.6022663,192.0360987,195.0559802,196.4319415,195.9496429,193.3595254,188.3697542,176.6099337,167.1443434,153.6312166,136.0089688,114.2871403,89.05366246,62.18065027,36.23164602,14.2474311,0,Base
